bid,单位面积穗数(万),千粒重(g),每穗粒数,亩产量(kg)
1222,32.2,34.2,27.9,307.25
1223,0,38.50,31.55,0
1225,48.2,40.3,33.4,648.78
1226,30.0,40.7,38.5,470.08
1227,21.91,41.2,40.4,364.69
1228,38.75,44.00,32.80,559.24
1229,0,44.5,36.4,0
1230,48.1,45.2,32.9,715.29
1231,0,42.10,37.00,0
1232,19.7,50.0,48.7,479.69
1234,38.1,49.8,32.8,622.34
1235,21.5,40.0,50.0,430.00
1236,39.0,43.5,34.4,583.60
1237,45.00,41.50,32.00,597.60
1238,35,40,28,392.00
1240,35.00,47.00,33.40,549.43
1241,40.3,46.7,33.8,636.12
1242,45,45,42,850.50
1243,0,42.0,34,0
1244,38.80,46.80,35.00,635.54
1245,38.1,34.3,32.6,426.03
1246,44.9,30.2,30.2,409.51
1247,39.0,37.7,28.6,420.51
1248,39.40,46.20,33.05,601.60
1249,39.0,47.0,38.4,703.87
1250,0,45.25,42.50,0
1251,34.1,36.3,28.6,354.02
1253,42.7,44.3,35.8,677.20
1254,0,41.65,33.50,0
1255,33.0,41.9,37.3,515.75
1256,38.80,46.30,36.15,649.41
1258,39.70,46.10,33.90,620.43
1259,20.9,43.9,46.0,422.05
1260,40.8,43.0,35.5,622.81
1261,39.1,35.4,32.0,442.92
1262,42.50,41.50,34.50,608.49
1263,40.35,43.65,35.25,620.85
1264,38,40,33,501.60
1265,19.95,43.20,41.10,354.22
1266,42.50,50.00,38.00,807.50
1267,37.3,49.3,33.2,610.51
1268,43.00,48.50,29.50,615.22
1269,41.10,47.55,31.90,623.42
1270,21.7,44.7,46.3,449.11
1271,35.0,37.2,27.9,363.26
1273,43.6,44.6,29.6,575.59
1274,17.84,44.95,37.60,301.52
1276,46.9,38.4,33.9,610.53
1278,16.67,46.69,49.32,383.87
1279,21.06,49.7,44.8,468.91
1280,0,42,39.00,0
1281,0,328.1,566,0
1282,34.4,40.2,31.9,441.14
1283,0,43.00,30.50,0
1284,30.4,43.0,0,0
1285,31.0,41.8,35.7,462.60
1286,38.5,44.3,37.3,636.17
1287,0,40.7,31.5,0
1288,0,42.4,32.3,0
1291,37.9,47.5,34.7,624.69
1292,20.20,38.90,41.20,323.74
1294,23.8,46.4,44.2,488.11
1295,40.5,37.2,37.8,569.49
1296,21.7,42.9,45.0,418.92
1297,23.54,38.9,41.1,376.36
1298,43,46.5,34.2,683.83
1299,0,52.8,0,0
1300,39.70,34.90,34.15,473.16
1302,21.8,44.8,49.6,484.41
1303,24.8,45.2,42.1,471.92
1304,40.2,30.8,33.1,409.83
1305,46.6,44.1,33.2,682.28
1306,40.8,41.8,34.4,586.67
1307,20.7,48.1,45.4,452.03
1308,30.9,41.3,36.4,464.53
1309,38.60,47.00,35.90,651.30
1310,35.35,42.80,34.60,523.49
1311,38.5,45.2,35.3,614.29
1312,36.6,44.3,32.1,520.46
1313,46.5,43.6,33.4,677.15
1314,41.0,43.7,32.2,576.93
1315,47.5,45.0,30.9,660.49
1316,23.0,49.0,38.0,428.26
1317,0,45.70,40.65,0
1318,0,40.5,29,0
1319,20.77,38.10,39.35,311.39
1320,30.6,39.6,37.2,450.77
1321,0,43.10,39.50,0
1322,33.7,38.6,27.2,353.82
1324,39.5,44.6,35.4,623.64
1326,43.6,46.5,29.8,604.17
1327,43.2,41.2,33.7,599.81
1328,41.8,43.1,34.4,619.74
1329,39.15,47.90,34.90,654.47
1330,42.2,41.9,32.8,579.96
1331,37.40,44.35,34.00,563.95
1332,24.0,45.2,41.5,450.19
1333,0,43,31,0
1334,37.4,44.2,36.1,596.76
1336,43.6,47.1,30,616.07
1338,38.00,45.35,36.40,627.28
1339,30.4,41.3,37.1,465.80
1340,0,48.41,36.5,0
1341,37.6,45.4,34.7,592.34
1342,0,44.20,29.80,0
1343,41.0,40.5,35.5,589.48
